city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity,Year
Beijing,02-01-2020,137,33.7,31.5,36.7,27.5,-1.6,32,4,Urban,1545,2020
London,03-01-2020,266,43,59.6,30.4,57.3,36.4,25,10,Suburban,1539,2020
Mexico City,04-01-2020,293,33.7,37.9,12.3,42.7,-1,67,10,Urban,552,2020
Delhi,05-01-2020,493,50.3,34.8,31.2,35.6,33.5,72,9,Suburban,1631,2020
Cairo,06-01-2020,28,67.2,44.9,41.9,47.8,7.9,89,11,Urban,1291,2020
Los Angeles,07-01-2020,217,29,63.7,22.3,56,27.7,22,8,Urban,1852,2020
Los Angeles,08-01-2020,449,60.8,56.2,40,18.1,26.3,46,14,Urban,350,2020
Delhi,09-01-2020,342,44.9,63.4,31,34.9,28,34,7,Urban,878,2020
Beijing,10-01-2020,279,27.1,101,47.8,42.2,-2.1,24,8,Urban,179,2020
Beijing,11-01-2020,484,56.6,46.3,33.2,27.3,27.9,62,9,Urban,600,2020
Tokyo,12-01-2020,472,44.7,56.6,35.1,31.1,9.4,26,5,Suburban,154,2020
Mexico City,13-01-2020,276,46.3,50.5,32.8,52.6,24.7,53,11,Rural,1042,2020
London,14-01-2020,290,0.4,43,25.3,55.8,8.8,33,3,Urban,989,2020
Beijing,15-01-2020,475,45,47.6,38.5,54.6,10.4,76,6,Urban,1461,2020
Delhi,16-01-2020,423,34.2,31.4,36.1,32.8,24.7,70,5,Urban,1472,2020
Mexico City,17-01-2020,269,41.3,46,22.9,39.7,-4.7,74,10,Urban,1337,2020
Delhi,18-01-2020,475,44.4,34.8,41.4,67.2,25.4,27,10,Suburban,1374,2020
London,19-01-2020,34,41.5,17.3,40.3,44.4,2.5,35,8,Urban,893,2020
Mexico City,20-01-2020,234,42.3,47.3,17.2,43.7,34.4,36,11,Urban,1508,2020
Los Angeles,21-01-2020,402,47,13.8,29.2,30.8,30.3,84,8,Rural,1785,2020
Beijing,22-01-2020,164,31.1,66.1,20.2,31.9,5.1,69,8,Suburban,1500,2020
Cairo,23-01-2020,429,61.3,43.2,30.1,37.8,35.3,28,8,Urban,1041,2020
Tokyo,24-01-2020,161,44.4,51.6,25.3,15,28.5,86,7,Urban,89,2020
Los Angeles,25-01-2020,385,24,31.5,28.1,29.6,-2.6,23,3,Urban,1187,2020
Delhi,26-01-2020,184,40.3,57.1,15.6,45.1,6.6,36,8,Urban,59,2020
Beijing,27-01-2020,382,19.5,33.3,24.8,44.1,9.2,38,7,Urban,1852,2020
Delhi,28-01-2020,132,47.1,51.1,23.4,48,-3.5,91,9,Suburban,1866,2020
Delhi,29-01-2020,169,19.8,30.1,40.8,58.8,32.2,62,15,Urban,1099,2020
Mexico City,30-01-2020,470,32.6,37,39.7,37,5,20,7,Suburban,892,2020
Los Angeles,31-01-2020,388,30.6,53.8,10.7,13.3,-1.4,36,10,Urban,1228,2020
Cairo,01-02-2020,263,47.4,63,32,60.2,33.1,25,16,Urban,881,2020
Beijing,02-02-2020,52,23.5,17,44.7,43,12.1,65,8,Urban,177,2020
Beijing,03-02-2020,302,41.5,52.9,14.9,55.5,6.5,45,9,Rural,1789,2020
Beijing,04-02-2020,204,14.8,43.5,10.2,31.3,28.3,35,5,Urban,1426,2020
Delhi,05-02-2020,34,51,35.6,43.8,39.7,7.7,84,14,Urban,462,2020
Delhi,06-02-2020,124,34.5,76.4,18,17.1,29.1,53,7,Urban,261,2020
Beijing,07-02-2020,441,29.1,60.6,27.1,43.1,18.6,91,11,Suburban,1334,2020
Delhi,08-02-2020,361,38.2,58.3,46.9,45.4,16.7,42,12,Suburban,1996,2020
Mexico City,09-02-2020,40,39.4,24.4,10,36.6,14.4,43,2,Suburban,1108,2020
Beijing,10-02-2020,378,27.7,76.6,43.5,38.9,39.1,30,8,Urban,1500,2020
London,11-02-2020,257,59.1,49.7,37.6,59.3,34.7,47,7,Urban,637,2020
Los Angeles,12-02-2020,422,51,31,22.2,30.1,12,77,4,Urban,968,2020
Beijing,13-02-2020,432,10.7,38.6,31.6,47.1,-2,69,9,Urban,784,2020
London,14-02-2020,347,36.3,81.2,34.1,40.1,10.3,44,6,Urban,756,2020
London,15-02-2020,52,31.3,78.5,31.6,28.8,-0.4,27,16,Urban,1183,2020
Beijing,16-02-2020,93,5.8,77.8,33.4,57.8,5.1,39,11,Urban,981,2020
Delhi,17-02-2020,415,37.4,39.3,20.2,28.5,30.1,22,8,Suburban,775,2020
Mexico City,18-02-2020,140,23.4,53.2,33.3,53,26.4,21,10,Rural,342,2020
Delhi,19-02-2020,357,33,26,36.1,36,27.9,86,9,Rural,1679,2020
Delhi,20-02-2020,265,40.6,49.5,34.8,35,27,56,16,Suburban,514,2020
Delhi,21-02-2020,270,46.1,25.5,32.1,26.4,10.7,76,12,Suburban,1944,2020
Los Angeles,22-02-2020,326,39.8,60.3,25,62.4,25.7,43,8,Suburban,1773,2020
Mexico City,23-02-2020,167,1.8,61.1,28.5,34.3,38.7,80,4,Urban,1777,2020
Los Angeles,24-02-2020,235,34.9,32.9,24.8,33.9,38,26,6,Rural,1830,2020
Los Angeles,25-02-2020,362,8.5,46.9,28.6,38.8,36.8,49,6,Suburban,1954,2020
Beijing,26-02-2020,386,19.1,36.9,13.8,43.8,35,43,8,Urban,1098,2020
Mexico City,27-02-2020,470,63.7,27.6,30.2,40.9,20.3,75,13,Suburban,360,2020
Delhi,28-02-2020,93,37,76.1,54.9,61.8,8.2,64,10,Urban,594,2020
Delhi,29-02-2020,81,8.6,30.1,17.5,39.2,24.1,61,0,Urban,1141,2020
Mexico City,01-03-2020,439,32.4,54.5,31.4,41.6,4.4,38,6,Rural,218,2020
Beijing,02-03-2020,3,67.8,72.4,20,39.8,32.8,74,12,Urban,1136,2020
Mexico City,03-03-2020,403,27.1,38.2,37.4,51.6,3.5,80,11,Urban,989,2020
Los Angeles,04-03-2020,2,4.9,41.6,38.2,37.7,12,79,0,Urban,1966,2020
Mexico City,05-03-2020,240,33.8,61.9,38.4,27.4,10.1,44,0,Suburban,423,2020
Mexico City,06-03-2020,494,68.2,79.2,24.6,46.1,35,66,8,Urban,1036,2020
Mexico City,07-03-2020,291,28.2,28.9,18.8,29.3,26.8,61,9,Urban,1051,2020
Beijing,08-03-2020,278,58.4,60.9,37.8,44,11.8,85,3,Suburban,1648,2020
Delhi,09-03-2020,316,34.7,54.8,31.3,37.4,32.4,46,8,Suburban,461,2020
Beijing,10-03-2020,253,71.4,66.4,27.1,47.8,38.9,86,9,Rural,641,2020
Delhi,11-03-2020,13,32.5,43.9,23.1,39.5,8.5,89,9,Urban,1632,2020
Beijing,12-03-2020,95,31.7,68.4,14.1,41.5,19.8,64,9,Suburban,239,2020
London,13-03-2020,332,44.3,96.6,23.1,41.5,14.3,81,7,Urban,1518,2020
Delhi,14-03-2020,152,25.5,63.4,40.4,33.7,24.9,50,10,Urban,483,2020
Delhi,15-03-2020,185,29.1,30.3,50.1,45.9,32.7,29,13,Urban,1554,2020
Delhi,16-03-2020,304,33,53.8,18.4,31.1,-3.7,68,7,Rural,612,2020
Delhi,17-03-2020,22,60.7,72.3,24.2,38,17.7,37,12,Rural,1396,2020
Mexico City,18-03-2020,74,7,38.4,46.8,58.7,23.2,75,7,Urban,661,2020
Mexico City,19-03-2020,301,17.2,36.4,30.2,24.8,-1.6,33,6,Urban,1694,2020
Los Angeles,20-03-2020,250,59,50.9,18.2,36,32.7,74,12,Rural,1113,2020
Mexico City,21-03-2020,329,36.1,50.5,32.2,46.8,14,25,14,Urban,799,2020
Beijing,22-03-2020,8,18.8,101.9,19.9,50,14.3,45,3,Suburban,1711,2020
London,23-03-2020,316,42.9,51.1,29.2,46.4,17.1,41,12,Urban,474,2020
Delhi,24-03-2020,371,33.7,39.3,20.3,58.9,6.2,79,6,Suburban,1056,2020
Delhi,25-03-2020,491,26.1,67.3,45.8,51.3,-3.7,92,6,Suburban,1348,2020
Delhi,26-03-2020,100,20.9,21.4,41.5,53.9,6.4,41,3,Urban,722,2020
Los Angeles,27-03-2020,398,29.4,53.5,41.4,47.9,31.7,26,7,Suburban,778,2020
Beijing,28-03-2020,489,1.5,39.2,24.8,19.2,11.3,51,1,Urban,754,2020
Delhi,29-03-2020,166,26.6,55.7,45.1,42.4,26.4,57,6,Urban,1802,2020
Beijing,30-03-2020,481,50.3,31.5,28.7,46.5,20.8,83,14,Urban,1828,2020
Mexico City,01-04-2020,46,28.4,69.4,22.9,33,23.7,63,5,Suburban,1681,2020
Beijing,02-04-2020,369,14.3,53.6,26.9,46.8,31.2,51,8,Suburban,664,2020
Beijing,03-04-2020,238,26.8,18.4,37.4,38.4,31.5,56,12,Urban,1000,2020
Beijing,04-04-2020,37,0.3,80.8,40.7,37.4,31.1,67,9,Urban,1368,2020
Mexico City,05-04-2020,142,41,45.5,42.7,32.6,34.9,33,13,Urban,55,2020
Beijing,06-04-2020,254,42.5,59.3,22.5,44.6,21.9,52,2,Urban,209,2020
Delhi,07-04-2020,275,46.2,61.5,19.7,38.9,0.5,59,10,Urban,626,2020
Delhi,08-04-2020,232,50.1,47,24.9,55.1,-4.8,86,16,Rural,967,2020
Cairo,09-04-2020,285,46.7,50.7,46.5,47.8,22.7,52,4,Urban,1013,2020
Tokyo,10-04-2020,359,35.7,35.4,35.6,51.7,34.6,64,5,Urban,714,2020
Mexico City,11-04-2020,379,27.1,26.8,31.8,45.9,27.5,44,9,Urban,868,2020
Delhi,12-04-2020,251,26.3,33.2,40.8,19.2,22.2,39,9,Suburban,1573,2020
Cairo,13-04-2020,320,33.5,57.1,23.8,17,27.3,62,5,Rural,1429,2020
Los Angeles,14-04-2020,418,45.8,74.3,20.8,35.2,37.4,25,9,Rural,553,2020
Los Angeles,15-04-2020,85,20.2,57.3,26,37.5,21.6,40,9,Urban,1874,2020
Beijing,16-04-2020,189,38.4,84.2,43.8,15.9,17.2,31,6,Suburban,1489,2020
Delhi,17-04-2020,263,19.3,65.5,27,44.7,22.1,48,10,Suburban,473,2020
Delhi,18-04-2020,128,41.4,58.3,39.4,50.1,1.5,65,13,Urban,107,2020
Tokyo,19-04-2020,469,24,73.3,34.7,25.5,34.1,35,6,Urban,1739,2020
